species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Streptopelia turtur,Madrid Comunidad de,Sureste PNat--Presa del Rey,2017-09-02,9,40.301678,-3.542962,5.0
Streptopelia turtur,Cataluña,Basses de Can Dimoni,2017-07-27,7,41.30993,2.047495,1.0
Streptopelia turtur,Andalucía,Ribera de la Algaida,2017-05-21,5,36.78677,-2.596674,0.0
Streptopelia turtur,Extremadura,"Corchuelas-12 (39,811, -5,959)",2017-05-03,5,39.810963,-5.958948,2.0
Streptopelia turtur,Castilla y León,Torregalindo,2017-04-23,4,41.58248,-3.750972,1.0
Streptopelia turtur,Castilla y León,Rábano--Río Duratón,2017-05-13,5,41.52921,-4.059564,1.0
Streptopelia turtur,La Rioja,Muro de Aguas,2017-05-09,5,42.133617,-2.108731,1.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-07,5,39.142498,2.938875,2.0
Streptopelia turtur,Castilla y León,Valdezate,2017-05-13,5,41.603157,-3.925997,0.0
Streptopelia turtur,Extremadura,"Corchuelas-4 (39,83, -6,015)",2017-05-03,5,39.830235,-6.014551,2.0
Streptopelia turtur,La Rioja,"Bergasa, término general",2017-05-02,5,42.25255,-2.131154,1.0
Streptopelia turtur,Extremadura,"Corchuelas-7 (39,822, -5,997)",2017-05-03,5,39.82187,-5.996635,2.0
Streptopelia turtur,Extremadura,Corchuelas-11,2017-05-03,5,39.81429,-5.963824,2.0
Streptopelia turtur,Andalucía,El Marchal--Lucainena de las Torres,2017-07-29,7,37.036663,-2.19453,0.0
Streptopelia turtur,Extremadura,Corchuelas-13,2017-05-26,5,39.81041,-5.950985,3.0
Streptopelia turtur,Extremadura,"Corchuelas-8 (39,82, -5,988)",2017-05-03,5,39.819935,-5.988015,2.0
Streptopelia turtur,Illes Baleares,Casa Sa Cabaneta,2017-05-03,5,39.618668,2.737567,1.0
Streptopelia turtur,Castilla y León,El Parral--Peña del Gato,2017-07-21,7,40.78212,-4.98554,3.0
Streptopelia turtur,Extremadura,Corchuelas-18,2017-05-26,5,39.81457,-5.933754,3.0
Streptopelia turtur,Canarias,Los Rodeos,2017-04-06,4,28.487091,-16.359137,2.0
Streptopelia turtur,Andalucía,"11380, Tarifa ES-Andalucía (36,0249,-5,6167)",2017-04-29,4,36.024853,-5.616684,1.0
Streptopelia turtur,Castilla y León,Martiago--Risco de Martiago,2017-06-15,6,40.49538,-6.49359,1.0
Streptopelia turtur,Andalucía,Fiñana--Pueblo,2017-06-10,6,37.17104,-2.841132,0.0
