species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-29,10,43.02716,-1.356211,70.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,29.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,122.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,182.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,293.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,576.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,856.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,36.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,303.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,75.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-29,10,43.02716,-1.356211,77.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,59.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,230.0
Grus grus,Extremadura,Censos de grulla (Vegas del Tiétar-Monfragüe),2017-01-21,1,39.9085,-5.907619,6195.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,40.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,29.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,390.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,32.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,154.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,64.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,79.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,68.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,261.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,95.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,115.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,4.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,61.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,562.0
Grus grus,Aragón,Estepas de Belchite--Balsa del Planerón,2017-02-27,2,41.36992,-0.63831,24.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,688.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,304.0
