species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Passer domesticus,Cataluña,Verneda de Fontanals,2017-10-14,10,42.3982,1.865516,20.0
Passer domesticus,País Vasco,Ría del Barbadun,2017-08-09,8,43.345978,-3.118317,3.0
Passer domesticus,Andalucía,Río Andarax--Desembocadura,2017-11-15,11,36.811935,-2.429115,0.0
Passer domesticus,Extremadura,Monfragüe PN--Castillo,2017-05-03,5,39.828083,-6.051465,30.0
Passer domesticus,Extremadura,Monfragüe PN--Portilla del Tiétar,2017-04-24,4,39.857,-5.959775,15.0
Passer domesticus,Castilla y León,Lagunas de Villafáfila RNat--Área General,2017-12-23,12,41.840794,-5.594144,0.0
Passer domesticus,Madrid Comunidad de,"Parque Urtinsa y Parque Institutos - Calle Olímpico Francisco Fernández Ochoa, Alcorcón, Comunidad de Madrid, ES (40.341, -3.816)",2017-12-26,12,40.341488,-3.815532,0.0
Passer domesticus,Murcia Región de,"Calle Dr. Fleming, Murcia",2017-10-13,10,37.987217,-1.126552,0.0
Passer domesticus,Madrid Comunidad de,Leganés--Parque Polvoranca,2017-12-05,12,40.325172,-3.79672,0.0
Passer domesticus,Castilla y León,Villalba de los Alcores--Arroyo de Matallana,2017-11-17,11,41.869415,-4.860093,0.0
Passer domesticus,Extremadura,Santa Marta de Magasca--Dehesa,2017-02-23,2,39.509205,-6.090717,0.0
Passer domesticus,Madrid Comunidad de,Parque de Las Presillas-Alcorcón,2017-11-03,11,40.359264,-3.798201,0.0
Passer domesticus,Cataluña,Boumort RNC--Area general (use specific hotspot if possible),2017-05-28,5,42.24014,1.125609,0.0
Passer domesticus,Castilla y León,Canal de Castilla - Esclusa  42,2017-10-27,10,41.683834,-4.719127,5.0
Passer domesticus,Madrid Comunidad de,Parque El Retiro-Madrid,2017-10-18,10,40.416504,-3.68351,0.0
Passer domesticus,Cataluña,Delta del Llobregat PNat--Area general (use specific hotspot if possible),2017-05-03,5,41.2849,2.059164,0.0
Passer domesticus,Andalucía,"Vega de Acá-Parque del Andarax 09/801, Almería, Andalucía, ES (36.829, -2.431)",2017-10-03,10,36.828644,-2.431473,0.0
Passer domesticus,Murcia Región de,Rio Segura.Murcia,2017-12-24,12,37.98033,-1.135076,0.0
Passer domesticus,Castilla-La Mancha,Chozas de Canales--Arroyo del Riachuelo,2017-09-02,9,40.124928,-4.032714,0.0
Passer domesticus,Andalucía,"Vega de Acá-Parque del Andarax, Almería, Andalucía, ES (36.832, -2.435)",2017-10-06,10,36.831585,-2.435331,0.0
Passer domesticus,Valenciana Comunidad,L'Albufera PNat--El Raco de l'Olla,2017-09-29,9,39.334595,-0.317488,10.0
